¹Û²âÈÕÆÚ,TP13,TP18,TP29
2019/8/29,3719.667161,5805.262808,
2019/8/30,3721.35322,5809.29613,
2019/8/31,3721.093959,5808.473967,
2019/9/1,3720.766999,5808.389692,
2019/9/2,3723.047178,5812.154372,
2019/9/3,3726.745218,5816.922544,
2019/9/4,3727.291915,5818.947193,
2019/9/5,3731.959456,5825.195685,
2019/9/6,3731.875198,5825.443754,
2019/9/7,3732.719209,5827.879747,
2019/9/8,3733.539903,5829.059784,
2019/9/9,3735.116323,5830.832933,
2019/9/10,3737.70516,5834.201908,
2019/9/11,3738.849557,5836.053359,
2019/9/12,3740.419816,5839.333056,
2019/9/13,3741.687221,5841.060912,
2019/9/14,3742.046992,5841.703891,
2019/9/15,3745.025507,5847.260553,
2019/9/16,3747.39222,5851.357963,
2019/9/17,3744.920791,5848.22721,
2019/9/18,3746.187781,5850.293576,
2019/9/19,3747.610802,5851.599621,
2019/9/20,3746.930452,5850.8579,
2019/9/21,3751.748582,5855.920841,
2019/9/22,3754.268001,5859.73389,
2019/9/23,3757.966745,5865.151442,
2019/9/24,3757.579041,5864.913363,
2019/9/25,3760.053981,5867.073181,
2019/9/26,3764.612034,5872.756145,
2019/9/27,3761.268852,5870.677122,
2019/9/28,3765.467804,5875.213826,
2019/9/29,3766.236251,5875.125681,
2019/9/30,3766.883959,5877.811101,
2019/10/1,3769.476879,5879.716388,
2019/10/2,3768.272704,5879.470991,
2019/10/3,3772.738211,5883.638631,
2019/10/4,3773.05129,5882.825174,
2019/10/5,3775.883216,5886.717438,
2019/10/6,3775.115279,5886.710596,
2019/10/7,3775.504103,5889.408284,
2019/10/8,3773.989934,5886.616455,
2019/10/9,3775.645778,5893.599165,
2019/10/10,3781.257801,5896.035771,
2019/10/11,3782.622153,5892.541675,
2019/10/12,3782.672153,5899.257653,
2019/10/13,3782.569927,5896.75866,
2019/10/14,3787.22363,5902.027762,
2019/10/15,3786.838833,5900.869547,
2019/10/16,3788.47595,5903.502156,
2019/10/17,3790.840385,5906.149774,
2019/10/18,3793.204898,5908.797615,
2019/10/19,3793.715638,5912.053407,
2019/10/20,3794.272828,5910.429465,
